date,PB95,ON
2020-01-06,4.967,5.194
2020-01-13,4.978,5.199
2020-01-20,4.955,5.164
2020-01-27,4.935,5.155
2020-02-03,4.922,5.134
2020-02-10,4.905,5.116
2020-02-17,4.895,5.094
2020-02-24,4.866,5.041
2020-03-02,4.83,4.986
2020-03-09,4.773,4.893
2020-03-16,4.612,4.716
2020-03-23,4.36,4.464
2020-03-30,4.191,4.312
2020-04-06,4.114,4.266
2020-04-20,4.009,4.142
2020-04-27,3.957,4.086
2020-05-04,3.911,4.028
2020-05-11,3.866,3.988
2020-05-18,3.97,4.041
2020-05-25,4.048,4.101
2020-06-01,4.111,4.159
2020-06-08,4.119,4.167
2020-06-15,4.158,4.192
2020-06-22,4.173,4.184
2020-06-29,4.207,4.194
2020-07-06,4.226,4.197
2020-07-13,4.27,4.221
2020-07-20,4.328,4.277
2020-07-27,4.352,4.284
2020-08-03,4.395,4.328
2020-08-10,4.395,4.337
2020-08-17,4.453,4.387
2020-08-24,4.465,4.393
2020-08-31,4.478,4.402
2020-09-07,4.501,4.412
2020-09-14,4.482,4.398
2020-09-21,4.486,4.391
2020-09-28,4.486,4.391
2020-10-05,4.471,4.377
2020-10-12,4.437,4.325
2020-10-19,4.442,4.278
2020-10-26,4.442,4.278
2020-11-02,4.433,4.353
2020-11-09,4.413,4.337
2020-11-16,4.43,4.346
2020-11-23,4.458,4.38
2020-11-30,4.502,4.432
2020-12-07,4.51,4.474
2020-12-14,4.574,4.542
2020-12-21,4.557,4.53
2021-01-11,4.64,4.617
2021-01-18,4.702,4.669
2021-01-25,4.713,4.688
2021-02-01,4.718,4.697
2021-02-08,4.729,4.713
2021-02-15,4.781,4.771
2021-02-22,4.88,4.873
2021-03-01,4.975,4.969
2021-03-08,5.015,4.978
2021-03-15,5.148,5.157
2021-03-22,5.217,5.227
2021-03-29,5.249,5.225
2021-04-12,5.293,5.229
2021-04-19,5.294,5.228
2021-04-26,5.297,5.229
2021-05-03,5.297,5.229
2021-05-10,5.297,5.245
2021-05-17,5.294,5.223
2021-05-24,5.303,5.23
2021-05-31,5.296,5.226
2021-06-07,5.304,5.232
2021-06-14,5.343,5.261
2021-06-21,5.395,5.313
2021-06-28,5.538,5.455
2021-07-05,5.577,5.441
2021-07-12,5.611,5.439
2021-07-19,5.727,5.442
2021-07-26,5.728,5.44
2021-08-02,5.737,5.443
2021-08-09,5.739,5.443
2021-08-16,5.738,5.442
2021-08-23,5.739,5.44
2021-08-30,5.734,5.464
2021-09-06,5.734,5.495
2021-09-13,5.8,5.56
2021-09-20,5.817,5.615
2021-09-27,5.832,5.679
2021-10-04,5.846,5.78
2021-10-11,5.861,5.848
2021-10-18,5.889,5.887
2021-10-25,5.938,5.936
2021-11-01,5.984,5.986
2021-11-08,5.987,5.99
2021-11-15,6.002,5.997
2021-11-22,6.035,6.02
2021-11-29,6.048,6.044
2021-12-06,6.008,6.013
2021-12-13,5.981,5.998
2021-12-20,5.753,5.794
